city_clean,city_listing_count
baytown,1407
bayview,39
bayville,186
bazetta,2
beach,15
beach city,51
beach haven,31
beach haven west,11
beach lake,33
beach park,81
beachwood,126
beacon,164
beacon falls,24
beal city,1
bealeton,82
beallsville,11
beals,10
beaman,1
bean station,84
bear,225
bear creek,36
bear creek township,1
bear grass,1
bear lake,50
bear lake rd,1
bear lake township,1
bear river city,4
bear valley,7
bear valley springs,2
bearcreek,2
bearden,5
beardsley,4
beardstown,29
bearsville,9
beartooth loop spearfish,13
beasley,43
beason,2
beatrice,82
beattie,1
beatty,34
beatty township,5
beattyville,35
beaufort,1007
beaumont,1174
beauregard,2
beauty,3
beaux arts,1
beaver,228
beaver bay,4
beaver city,4
beaver cove,3
beaver creek,197
beaver crossing,3
beaver dam,222
beaver dams,11
beaver falls,216
beaver island,81
beaver meadows,5
beaver rd,1
beaver springs,4
beavercreek,208
beavercreek township,33
beaverdale,4
beaverdam,58
beaverton,1172
beavertown,4
beaverville,4
beccaria,2
bechtelsville,29
bechtold rd corcoran,1
beckemeyer,4
becker,61
becket,101
beckley,143
beckville,5
beckwourth,12
bed stuy,43
beddington,1
bedford,991
bedford corners,9
bedford heights,58
bedford hills,8
bedford park,2
bedias,52
bedminster,1
bedminster twp,95
bedrock,1
bedrock dr harrison,2
bedstuy,2
bedstuy brooklyn,1
bee,3
bee branch,22
bee cave,11
bee spring,6
beebe,80
beech bluff,15
beech bottom,2
beech creek,10
beech grove,35
beech island,129
beech mountain,241
beech mountain lakes,1
beecher,83
beecher city,1
beechgrove,28
beechhurst,83
beechmont,3
beekmantown,3
beemer,2
beersheba springs,12
beesleys point,3
beeson,1
beeville,81
beggs,46
bejou,1
bel air,571
bel aire,76
bel alton,12
bel nor,3
bel ridge,1
belcamp,63
belcher,2
belchertown,138
belden,75
beldenville,1
belding,26
belen,368
belews creek,28
belfair,133
belfast,40
belfast township,1
belfield,13
belford,23
belfry,32
belgium,18
belgrade,204
belhaven,115
belington,40
belk,1
bell,114
bell buckle,23
bell canyon,34
bell city,7
bell gardens,37
bella villa,1
bella vista,1774
bellaire,476
bellaire vlg,1
bellbrook,34
belle,37
belle center,35
belle chasse,88
belle fourche,96
belle glade,32
belle harbor,13
belle haven,25
belle isle,44
belle mead,14
belle plaine,143
belle rive,2
belle rose,4
belle terre,9
belle vernon,91
belleair,75
belleair beach,27
belleair bluffs,36
belleair shores,1
bellefontaine,148
bellefontaine nghbrs,4
bellefonte,154
bellemont,31
belleplain,1
bellerose,92
bellerose manor,3
bellerose village,1
belleview,362
belleville,657
bellevue,1173
bellflower,176
bellingham,1010
bellmawr,61
bellmead,9
bellmont,2
bellmore,83
bellport,40
bellport village,6
bells,46
bellview,1
bellville,180
bellvue,24
bellwood,98
belmar,45
belmond,6
belmont,683
beloit,374
belpre,56
belsano,4
belspring,4
belt,15
belton,577
beltrami,2
beltsville,152
belvedere,24
belvedere tiburon,3
belvidere,341
belvidere township,1
belview,3
belville,8
belvue,3
belzoni,10
bement,11
bemidji,273
bemus point,23
ben arnold,6
ben franklin,2
ben hur,1
ben lomond,42
ben wheeler,43
bena,1
benavides,3
benbow,6
benbrook,193
bend,882
bendersville,4
benedict,4
benedicta,3
benezette,4
bengal,1
benge,2
benham,2
benicia,138
benjamin,5
benkelman,5
benld,17
bennet,2
bennett,82
bennettsville,91
bennington,171
bennington township,1
bensalem,165
bensenville,43
benson,307
bent,3
bent mountain,40
bentley,46
bentley springs,2
bentleyville,18
benton,954
benton city,145
benton harbor,180
benton ridge,1
benton township,6
bentonia,5
bentonville,642
benwood,7
benzonia,22
beowawe,1
berea,287
beresford,13
bergen,10
bergen township,1
bergenfield,44
berger,8
bergheim,2
bergholz,11
bergland,11
bergman,2
bergton,5
berino,2
berkeley,618
berkeley heights,1
berkeley heights twp,79
berkeley lake,12
berkeley springs,211
berkeley township,2
berkey,3
berkley,77
berkshire,25
berlin,592
berlin boro,1
berlin center,14
berlin heights,10
berlin township,38
bermuda dunes,50
bermuda run,49
bernal,2
bernalillo,50
bernard,1
bernardo,13
bernards twp,191
bernardston,21
bernardsville,84
berne,38
bernhards bay,6
bernice,13
bernie,12
bernville,38
beroun,1
berrien center,17
berrien springs,46
berry,60
berry creek,86
berry summit,2
berrysburg,2
berryton,18
berryville,180
bertha,6
berthold,1
berthoud,218
bertram,80
bertrand,2
berwick,89
berwind,2
berwyn,360
berwyn heights,12
beryl,64
beryl junction,7
bessemer,474
bessemer city,104
bessie,2
bethalto,109
bethania,1
bethany,228
bethany beach,104
bethel,257
bethel heights,2
bethel island,42
bethel park,160
bethel springs,15
bethel township,9
bethelridge,5
bethesda,671
bethlehem,580
bethlehem township,23
bethpage,119
bethune,11
betsy layne,3
bettendorf,212
betterton,6
bettie,3
bettsville,3
beulah,118
beulah valley,1
beulaville,66
beverly,237
beverly beach,10
beverly hills,883
beverly hills post office,11
beverly hills vlg,4
beverly shores,18
bevier,3
bevil oaks,2
bevinsville,2
bexar co,2
bexley,14
beyer,3
bible grove,1
bickleton,5
bickleton hwy,1
bickmore,1
bicknell,11
biddeford,29
bidwell,10
bieber,5
bienville,1
big arm,29
big bar,7
big bay,3
big bear,156
big bear city,182
big bear lake,271
big bend,31
big bend valley terlingua ranch,3
big cabin,23
big canoe,170
big clifty,5
big coppitt,36
big cove tannery,2
big creek,1
big creek township,1
big falls,2
big flat,1
big flats,21
big fork,1
big horn,5
big hungry rd,1
big indian,6
big island,14
big lake,168
big lake township,1
big moose,1
big moose township,1
big oak flat,6
big otter,1
big pine,16
big pine key,60
big piney,13
big pool,5
big prairie,7
big prairie township,1
big rapids,168
big river,30
big rock,24
big run,3
big sandy,137
big sky,277
big sky estates hagerman,21
big spring,186
big springs,4
big stone city,21
big stone gap,39
big sur,14
big sur coast,1
big timber,38
big torch,1
big water,14
big wells,4
bigelow,17
bigfoot,17
bigfork,199
biggers,2
biggs,16
biggsville,7
bigler,1
biglerville,46
billerica,234
billings,808
billings township,1
billingsley,5
biloxi,487
biltmore forest,4
biltmore lake,13
bim,1
bimble,1
binder,6
bingen,5
binger,10
bingham,6
bingham canyon,1
bingham farms,2
bingham farms vlg,1
bingham lake,5
binghamton,362
biola,3
birch bay,6
birch drive,1
birch run,36
birch tree,13
birchdale,3
birchleaf,1
birchrunville,2
birchwood,139
birchwood village,6
bird city,3
bird in hand,3
bird island,11
birds landing,3
birdsboro,80
birdseye,6
birdsnest,3
birkenfeld,14
birmingham,2681
birnam wood lane belle fourche,1
birnam wood ln belle fourche,1
birnamwood,13
biron,33
bisbee,100
biscayne park,28
biscoe,15
bishop,106
bishopville,53
bismarck,629
bison,5
bitely,14
bivalve,4
bivins,18
biwabik,36
bixby,438
blachly,1
black,6
black bear trl brainerd,1
black brook,12
black butte,7
black butte ranch,9
black canyon city,31
black creek,27
black diamond,161
black diamond dr walsenburg,1
black eagle,5
black earth,40
black forest,1
black hawk,34
black jack,37
black lake,7
black lake ocate,1
black mountain,232
black oak,1
black river,52
black river falls,50
black rock,9
blackberry dr fairbanks,1
blackduck,16
blackey,1
blackfoot,71
blackhawk,18
blacklick,89
blackman township,1
blacksburg,301
blackshear,68
blackstock,5
blackstone,127
blacksville,1
blackville,14
blackwater,3
blackwell,48
blackwood,169
blackwood terrace,1
bladen,1
bladenboro,26
bladensburg,20
blades,5
blain,2
blaine,941
blaine county,54
blair,77
blairs,13
blairs mills,3
blairsburg,3
blairsden,12
blairsden graeagle,1
blairstown,54
blairsville,903
blakely,38
blakely island,2
blakesburg,5
blakeslee,131
blanca,52
blanch,10
blanchard,483
blanchard township,2
blanchardville,18
blanchester,23
blanco,225
bland,42
blandford,18
blanding,16
blandinsville,6
blandon,43
blaney park,1
blanket,25
blanks,2
blasdell,37
blauvelt,5
bledsoe,5
bleecker,3
bleiblerville,2
blenheim,14
blessing,25
blevins,2
bliss,25
bliss pointe vermillion,6
blissfield,21
block island,48
blocker,1
blocksburg,7
blockton,4
blodgett,2
blomkest,2
bloomburg,11
bloomdale,3
bloomer,15
bloomery,2
bloomfield,638
bloomfield hills,50
bloomfield township,124
blooming grove,25
blooming prairie,18
bloomingburg,25
bloomingdale,311
bloomingrose,1
bloomington,1861
bloomington springs,13
bloomsburg,82
bloomsbury,12
bloomsdale,11
bloomville,6
blossburg,14
blossom,42
blossvale,30
blount springs,6
blounts creek,34
blountstown,19
blountsville,45
blountville,61
blowing rock,265
bloxom,20
blue,3
blue anchor,1
blue ash,47
blue bell,116
blue canyon,1
blue creek,5
blue earth,35
blue eye,55
blue grass,74
blue hill,26
blue island,74
blue jay,6
blue lake,5
blue lake township,1
blue mound,15
blue mounds,12
blue mountain,10
blue mountain lake,6
blue point,26
blue rapids,6
blue ridge,484
blue ridge summit,9
blue river,25
blue rock,7
blue springs,266
bluebell,3
bluebonnet dr,1
bluefield,96
bluegrove,1
bluejacket,3
bluemont,29
bluewater,2
bluewater lake north,1
bluewater lake south,2
bluewater village,1
bluewell,1
bluff,5
bluff city,39
bluff dale,63
bluff point,1
bluffdale,56
bluffs,1
bluffton,1375
bluford,7
blum,28
blunt,2
bly,15
blythe,199
blythedale,1
blytheville,72
blythewood,94
boalsburg,21
boardman,251
boaz,60
bob white ln,1
boca grande,67
boca raton,1775
bock,1
bodcaw,1
bode,2
bodega,1
bodega bay,22
bodfish,37
boerne,488
bogalusa,76
bogard,1
bogart,89
bogata,22
boggstown,1
bogota,18
bogue,5
bogue chitto,31
bogus brook township,2
bohannon,4
bohemia,35
boiceville,8
boiling spring lakes,137
boiling springs,442
bois blanc,35
bois blanc township,1
bois d arc,3
boise,1553
boissevain,1
bokchito,12
bokeelia,195
bokoshe,9
boles,6
boley,15
boligee,2
bolinas,11
boling,22
bolingbroke,4
bolingbrook,389
bolivar,217
bolivar peninsula,1
bolivia,470
bolt,2
bolton,63
bolton landing,74
bombay,3
bombay beach,1
bomont,2
bon air,1
bon aqua,27
bon secour,9
bon wier,7
bonaire,199
bonanza,71
bonaparte,9
boncarbo,12
bond,1
bondin township,1
bonduel,21
bondurant,228
bondville,2
bonesteel,1
bonfield,4
bong saint wonder lake,1
bonham,239
bonifay,91
bonita,63
bonita springs,989
bonne terre,160
bonneau,23
bonner,6
bonner springs,29
bonnerdale,26
bonners ferry,113
bonney lake,610
bonnie,4
bonnieville,8
bonnots mill,3
bono,20
bonsall,76
booker,5
boomer,42
boon,2
boone,598
boones mill,66
boonesville,1
booneville,166
boonsboro,80
boonton,42
boonton township,33
boonville,163
boothbay,18
boothbay harbor,11
boothville,1
boothwyn,40
boqueron,1
borden,15
bordentown,64
borger,40
boring,51
boron,61
borrego springs,201
boscawen,9
boscobel,38
bosler,1
bosque,13
bosque farms,44
boss,2
bossier city,629
bostic,67
boston,3620
boston heights,4
bostwick,3
boswell,41
bothell,859
bothwell,1
botkinburg,1
botkins,5
bottineau,43
bouckville,1
boulder,793
boulder city,74
boulder creek,145
boulder junction,12
boulevard,35
bound brook,63
bountiful,106
bourbon,40
bourbonnais,164
bourg,6
bourne,105
bournedale,3
bouse,65
bouton,2
boutte,6
bovey,23
bovill,4
bovina,2
bovina center,12
bow,30
bow mar,2
bowbells,5
bowden,1
bowdoin,1
bowdoinham,7
bowdon,85
bowen,2
bowerbank,2
bowerston,9
bowersville,20
bowersville vlg,1
bowie,689
bowlegs,5
bowler,4
bowling green,707
bowlus,4
bowman,48
bowmanstown,18
bowmansville,6
box elder,93
box springs,17
boxborough,68
boxford,48
boxholm,1
boxley,1
boy river,6
boyce,75
boyceville,9
boyd,93
boyd county,1
boyd mountain rd,1
boyden,2
boyds,58
boydsville,2
boydton,74
boyers,4
boyertown,66
boykins,4
boyle,6
boylston,29
boyne city,63
boyne falls,23
boynton,11
boynton beach,1261
bozeman,614
bozeman dr spearfish,13
bozman,10
bozrah,8
braceville,12
bracey,118
brackenridge,20
brackettville,53
brackney,10
bradburn branch rd,1
bradbury,18
braddock,29
braddyville,4
bradenton,1726
bradenton beach,42
bradenville,2
bradford,127
bradford pa,3
bradford township,3
bradfordsville,5
bradfordwoods,11
bradley,159
bradley beach,21
bradleyville,3
bradner,5
bradshaw,1
brady,90
bradyville,14
bragg,1
bragg city,2
braggs,12
braham,21
braidwood,69
brainard,1
brainerd,289
braintree,167
braithwaite,9
braman,3
brambleton,141
brampton,6
branch,22
branchburg,6
branchburg township,82
branchland,7
branchport,5
branchville,22
brandenburg,90
brandon,1144
brandsville,1
brandy station,11
brandywine,151
branford,206
branscomb,3
branson,634
branson west,143
brant,8
brantingham,7
brantley,11
brantwood,6
braselton,176
brashear,27
brasher falls,22
brasstown,107
braswell,15
bratenahl,33
brattleboro,29
bratton township,3
brawley,43
braxton,10
braymer,4
brayton,4
brazeau,1
brazil,73
brazoria,120
brazos country,4
brazos lodge estates chama,1
brazos meadows chama,1
brea,207
breaux bridge,223
breckenridge,283
breckenridge hills,3
brecksville,98
breda,3
breeding,1
breedsville,2
breen township,3
breese,16
breesport,2
breeze drive,1
breezewood,8
breezy point,91
breezy point dr,2
breinigsville,31
breitung township,6
bremen,241
bremerton,952
bremo bluff,11
bremond,43
brenda,2
brenham,379
brent,11
brenton,2
brentwood,925
brethren,11
brevard,383
brevort,2
brewer,24
brewerton,35
brewster,274
brewton,97
brian head,55
briarcliff,3
briarcliff manor,25
briarwood,125
brice,1
bricelyn,5
briceville,2
brick,454
brick township,6
bridge city,67
bridge creek,1
bridgehampton,80
bridgeland,1
bridgeport,894
bridger,17
bridgeton,321
bridgeview,48
bridgeville,292
bridgewater,183
bridgewater township,1
bridgewater twp,205
bridgman,31
bridgton,28
