description,price,description_clean
"3 hr showing notice~Beautifully maintained home in Pflugerville~Open space living area and fabulous kitchen space ideal for entertaining~Spacious master bedroom and bath along with perfectly sized secondary bedrooms allow the space needed for growing families~Close proximity to I-35, Toll 130 and minutes from Austin and Round Rock close to many major employers~Enjoy a rear patio and backyard with amazing views as this property sits at premium elevation~Save $ with solar~Self standing in condo regime.",279900.0,"3 hr showing notice beautifully maintained home in pflugerville open space living area and fabulous kitchen space ideal for entertaining spacious master bedroom and bath along with perfectly sized secondary bedrooms allow the space needed for growing families close proximity to i-35, toll 130 and minutes from austin and round rock close to many major employers enjoy a rear patio and backyard with amazing views as this property sits at premium elevation save $ with solar self standing in condo regime."
"12612 Stoney Ridge Bnd, Del Valle, TX 78617 is a single family home that contains 2,281 sq ft and was built in 2016. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $292,179. The Rent Zestimate for this home is $1,800/mo. ",250000.0,"12612 stoney ridge bnd, del valle, tx 78617 is a single family home that contains 2,281 sq ft and was built in 2016. it contains 3 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Single Level 2005-Built 4br 2ba 1762 Home backs to Greenbelt ::: Bright & Open Greatroom Floorplan * Spacious Kitchen w/ Center Island open to Familyroom w/ view of Open Field & Pond, no homes behind * New HVAC System 2020 * High Ceilings * Faux-Wood Vinyl Planking * 2"" Wood Blinds * Prime Location near new Tesla Campus & COTA * Easy to Show, Move-In Condition, Vacant/Lockbox ::: Titlework & Survey done, September Closing Preferred",239900.0,"single level 2005-built 4br 2ba 1762 home backs to greenbelt bright open greatroom floorplan spacious kitchen w/ center island open to familyroom w/ view of open field pond, no homes behind new hvac system 2020 high ceilings faux-wood vinyl planking 2 wood blinds prime location near new tesla campus cota easy to show, move-in condition, vacant/lockbox titlework survey done, september closing preferred"
"Wonderful home in Del Valle.  No neighbors behind this home. The interior has been recently painted along with the exterior.  Laminate wood flooring throughout this home.  No carpet.  HVAC unit is not original and shingles have been replaced within the last five years.  Corner lot with two side brick home plus a recent storage shed was added to this home.  Covered porch.  HVAC and shingles less than 5 years, HVAC, recent interior & exterior paint plus no homes behind this home. Move-In Ready!",200000.0,"wonderful home in del valle. no neighbors behind this home. the interior has been recently painted along with the exterior. laminate wood flooring throughout this home. no carpet. hvac unit is not original and shingles have been replaced within the last five years. corner lot with two side brick home plus a recent storage shed was added to this home. covered porch. hvac and shingles less than 5 years, hvac, recent interior exterior paint plus no homes behind this home. move-in ready!"
"12221 Ferrystone Cv, Del Valle, TX 78617 is a single family home that contains 1,655 sq ft and was built in 2010. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $260,403. The Rent Zestimate for this home is $1,750/mo. ",131679.0,"12221 ferrystone cv, del valle, tx 78617 is a single family home that contains 1,655 sq ft and was built in 2010. it contains 3 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"11712 Maybach Dr, Del Valle, TX 78617 is a single family home that contains 1,228 sq ft and was built in 2000. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $215,243. The Rent Zestimate for this home is $1,550/mo. ",200000.0,"11712 maybach dr, del valle, tx 78617 is a single family home that contains 1,228 sq ft and was built in 2000. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
View website: http://6004arnhem.IsNow4Sale.com - The kitchen has a center island and is open to other living spaces making it a great place for entertaining. Enjoy a nice evening out or your morning coffee on Porch.Stainless steel appliances and yes the FRIDGE coveys along with washer and dyer. This home is in a cul-de-sac so you have 3 back yards. See for yourself.,212000.0,view website http //6004arnhem.isnow4sale.com - the kitchen has a center island and is open to other living spaces making it a great place for entertaining. enjoy a nice evening out or your morning coffee on porch.stainless steel appliances and yes the fridge coveys along with washer and dyer. this home is in a cul-de-sac so you have 3 back yards. see for yourself.
"*PLEASE SEE THE WALKTHROUGH VIRTUAL TOUR*This 2015 Built DREES Home has Everything You Would Want with 5 Bedrooms that all have their own Bathroom and Walk-In Closet, 5.5 Bathrooms, Media Room, Game Room, Office, Frameless Shower, Wood Floors, Granite Counter Tops, 3 Car Garage with Epoxy Flooring, Quarter Acre Lot with Tall Shade Trees for the Kids to Play, or add a Pool, East Facing Covered Patio to Keep You Shaded in the Evening, Water Softener, Touch Screen Alarm System, Upgraded Lighting, Custom Paint & Walk-In Attic Designed for Storage.",687850.0,"please see the walkthrough virtual tour this 2015 built drees home has everything you would want with 5 bedrooms that all have their own bathroom and walk-in closet, 5.5 bathrooms, media room, game room, office, frameless shower, wood floors, granite counter tops, 3 car garage with epoxy flooring, quarter acre lot with tall shade trees for the kids to play, or add a pool, east facing covered patio to keep you shaded in the evening, water softener, touch screen alarm system, upgraded lighting, custom paint walk-in attic designed for storage."
"Rare opportunity in this high demand area of Avery Ranch! 5 Bedrooms, 4 Full Baths all on a coveted corner lot. Desirable layout includes 2 living areas, formal dining, large kitchen open to the living room, stainless appliance package, game room and additional bedroom upstairs! The hidden gem is the second living area that is well placed between two of the bedrooms, perfect for multigenerational families. Covered back patio and several varieties of mature fruit tress! Come and see it. ",409000.0,"rare opportunity in this high demand area of avery ranch! 5 bedrooms, 4 full baths all on a coveted corner lot. desirable layout includes 2 living areas, formal dining, large kitchen open to the living room, stainless appliance package, game room and additional bedroom upstairs! the hidden gem is the second living area that is well placed between two of the bedrooms, perfect for multigenerational families. covered back patio and several varieties of mature fruit tress! come and see it."
Charming Home boasting 3 bedrooms and 2 baths. This home sits on a sizable corner lot and is almost ready for move in.,199000.0,charming home boasting 3 bedrooms and 2 baths. this home sits on a sizable corner lot and is almost ready for move in.
"COVETED, SPACIOUS 3 bed + OFFICE, 1story MIL Plan w/HUGE guest room on other side of home adjacent to full bath & 3rd bedroom that can be another living space or adult bedroom! GORGEOUS open plan features formal DR, GREAT ROOM w/fireplace overlooks the PERFECT SIZE backyard & TRIPLE LENGTH, XTRA DEEP COVERED PATIO. Spacious kitchen w/ Xtra-long serving bar, granite, stainless appliances, walk-in pantry & breakfast nook w/bay window. Office features wood floors & 11' ceiling! Walking distance to Trailhead!",400000.0,"coveted, spacious 3 bed office, 1story mil plan w/huge guest room on other side of home adjacent to full bath 3rd bedroom that can be another living space or adult bedroom! gorgeous open plan features formal dr, great room w/fireplace overlooks the perfect size backyard triple length, xtra deep covered patio. spacious kitchen w/ xtra-long serving bar, granite, stainless appliances, walk-in pantry breakfast nook w/bay window. office features wood floors 11 ceiling! walking distance to trailhead!"
"Stunning Modern Design~Super Well Maintained~Mother-in-Law Plan with 2 bedrooms/2 full baths downstairs & separate study~Interior boasts high end finishes including dark hardwoods, high vaulted ceilings, 9 ft. doors, quartz counter tops & upgraded cabinets throughout, tankless water heaters, and shutters~Gourmet kitchen with upgraded Kitchen Aid Signature Series appliances~Over-sized covered patio with built-in grille and fridge opens to beautifully landscaped low maintenance back yard~Stunning Master Bath with his and hers closets~Awesome utility room with custom counter and sink with separate mud-room~Upstairs over-sized gameroom and separate media room with 2 beds and 2 full baths~Sought After Avery Ranch Community including Resort Style Pool and Amenity Center~Super close to all major conveniences including grocery stores, shopping, and 5 min drive to Apple Campus~Seller is willing to sell all furniture including all TVs and media room equipment.",699000.0,"stunning modern design super well maintained mother-in-law plan with 2 bedrooms/2 full baths downstairs separate study interior boasts high end finishes including dark hardwoods, high vaulted ceilings, 9 ft. doors, quartz counter tops upgraded cabinets throughout, tankless water heaters, and shutters gourmet kitchen with upgraded kitchen aid signature series appliances over-sized covered patio with built-in grille and fridge opens to beautifully landscaped low maintenance back yard stunning master bath with his and hers closets awesome utility room with custom counter and sink with separate mud-room upstairs over-sized gameroom and separate media room with 2 beds and 2 full baths sought after avery ranch community including resort style pool and amenity center super close to all major conveniences including grocery stores, shopping, and 5 min drive to apple campus seller is willing to sell all furniture including all tvs and media room equipment."
"Popular Bingham Floor plan in sought after Northwoods Community.  Over 75+k in Upgrades! Home features gorgeous open floor plan with Huge Living Space, 4 bedrooms plus study downstairs and a Game Room with Full bath upstairs. Wood floors in the living, kitchen and dining space, Plantation Shutters throughout, covered Patio and More!. Within min to Lakeline Station, HEB, Sams and Lakeline Mall. Easy Access to 183, Mopac, Parmer and Toll!",549900.0,"popular bingham floor plan in sought after northwoods community. over 75 k in upgrades! home features gorgeous open floor plan with huge living space, 4 bedrooms plus study downstairs and a game room with full bath upstairs. wood floors in the living, kitchen and dining space, plantation shutters throughout, covered patio and more!. within min to lakeline station, heb, sams and lakeline mall. easy access to 183, mopac, parmer and toll!"
"Contact first listing agent for showing instructions. This beautiful lot currently has 3 mobile units with renters in each one. Total rent accumulates around $2,800. Mobile units are 2010 or newer. 3 Septic tanks with 3 electric meters for each unit! Washer/ Dryer, lawnmower included!",350000.0,"contact first listing agent for showing instructions. this beautiful lot currently has 3 mobile units with renters in each one. total rent accumulates around . mobile units are 2010 or newer. 3 septic tanks with 3 electric meters for each unit! washer/ dryer, lawnmower included!"
"Fridge, washer, dryer, wall tv mounts do not convey",240000.0,"fridge, washer, dryer, wall tv mounts do not convey"
"15303 Lucian St, Austin, TX 78725 is a single family home that contains 1,738 sq ft and was built in 2013. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $284,728. The Rent Zestimate for this home is $1,650/mo. ",249900.0,"15303 lucian st, austin, tx 78725 is a single family home that contains 1,738 sq ft and was built in 2013. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Avery Ranch 3 car garage 5 bedrooms w/3 full baths plus an office! Upgraded carpet & wood floors including stairs~guest room down w/access to full bath~wraparound back covered patio & a yard big enough for pool &entertaining~gameroom up with 3 guest beds and guest bath with 2 sinks~nice sized master bedroom with a very nicely laid out master closet~upgraded lighting throughout~access to pools, parks & brushy creek trail system~highly rated Leander ISD~Lakeline Lightrail station is less than 2 miles away",400000.0,"avery ranch 3 car garage 5 bedrooms w/3 full baths plus an office! upgraded carpet wood floors including stairs guest room down w/access to full bath wraparound back covered patio a yard big enough for pool entertaining gameroom up with 3 guest beds and guest bath with 2 sinks nice sized master bedroom with a very nicely laid out master closet upgraded lighting throughout access to pools, parks brushy creek trail system highly rated leander isd lakeline lightrail station is less than 2 miles away"
"Don't miss this opportunity to find a great home on one of the larger lots in this neighborhood.  One a quiet cul-de-sac this home has great curb appeal and an open floor plan that is perfect for entertaining or family gatherings.  The kitchen, dining and family provide a warm and large space.  The French doors off of the breakfast area lead to a large backyard that is perfect for taking the party outdoors.",200000.0,"don t miss this opportunity to find a great home on one of the larger lots in this neighborhood. one a quiet cul-de-sac this home has great curb appeal and an open floor plan that is perfect for entertaining or family gatherings. the kitchen, dining and family provide a warm and large space. the french doors off of the breakfast area lead to a large backyard that is perfect for taking the party outdoors."
"Welcome to the Estates of Grandview Hills.  This elegant custom home is located on a cul-de-sac lot with views of the Texas Hill Country.  The home features a private backyard with a resort style pool, pergola covered outdoor kitchen and custom stone fire pit.  Automatic sun shades cover the back patio for relief from the Texas sun.  Inside you'll find beautiful wide plank hardwood floors and custom wood shutters throughout.  You'll love entertaining in the fabulous remodeled kitchen which features extensive white quartz countertops, tons of cabinet space, stainless farmhouse sink, wine fridge, gas cook-top and a Bosch dishwasher.  Upstairs you will find a large media/gameroom with wetbar and built-in cabinets, copper sink, and stone countertop. Two other dedicated bedrooms upstairs and a large flex room that can be so many things from a 4th bedroom (windows are fixed), 2nd office or dedicated home school room!  Located close to shopping and restaurants. Leander ISD feeding into Vandegrift High School.",875000.0,"welcome to the estates of grandview hills. this elegant custom home is located on a cul-de-sac lot with views of the texas hill country. the home features a private backyard with a resort style pool, pergola covered outdoor kitchen and custom stone fire pit. automatic sun shades cover the back patio for relief from the texas sun. inside you ll find beautiful wide plank hardwood floors and custom wood shutters throughout. you ll love entertaining in the fabulous remodeled kitchen which features extensive white quartz countertops, tons of cabinet space, stainless farmhouse sink, wine fridge, gas cook-top and a bosch dishwasher. upstairs you will find a large media/gameroom with wetbar and built-in cabinets, copper sink, and stone countertop. two other dedicated bedrooms upstairs and a large flex room that can be so many things from a 4th bedroom windows are fixed , 2nd office or dedicated home school room! located close to shopping and restaurants. leander isd feeding into vandegrift high school."
"Sitting on 2.34 acres with views for miles! Three bedrooms, 2 baths with new sinks and vanities in both baths, new water heater, solar screens on all windows and an covered back patio. Property includes a huge barn, chicken coops and storage. Just off 183 with easy access to ABIA and downtown Austin via 183 or IH35.",164995.0,"sitting on 2.34 acres with views for miles! three bedrooms, 2 baths with new sinks and vanities in both baths, new water heater, solar screens on all windows and an covered back patio. property includes a huge barn, chicken coops and storage. just off 183 with easy access to abia and downtown austin via 183 or ih35."
"5509 Bonneville Bnd, Austin, TX 78744 is a single family home that contains 1,634 sq ft and was built in 2016. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $339,612. The Rent Zestimate for this home is $2,000/mo. ",287500.0,"5509 bonneville bnd, austin, tx 78744 is a single family home that contains 1,634 sq ft and was built in 2016. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"10912 Crosbyton Ln, Austin, TX 78717 is a single family home that contains 3,047 sq ft and was built in 2013. It contains 4 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $700,508. The Rent Zestimate for this home is $2,495/mo. ",650000.0,"10912 crosbyton ln, austin, tx 78717 is a single family home that contains 3,047 sq ft and was built in 2013. it contains 4 bedrooms and 4 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Awesome opportunity to own a 3 bedroom, 2 bathroom, almost new home in Austin's Colony. Great floorplan with kitchen wide open to the living room. Private rear yard. Easy access to Toll 130, only 15 minutes to downtown Austin. Contact your agent to schedule a showing ASAP as this home is priced to sell quickly.",196000.0,"awesome opportunity to own a 3 bedroom, 2 bathroom, almost new home in austin s colony. great floorplan with kitchen wide open to the living room. private rear yard. easy access to toll 130, only 15 minutes to downtown austin. contact your agent to schedule a showing asap as this home is priced to sell quickly."
"Very close to Austin Airport, Circuit of The Americas, toll roads, downtown Austin... creek and pond on property... amazing potential - not many restrictions... House is very livable... large garage/storage building has very rough floor and has an old 1 bedroom with full bath in it (needs work!)... lots of covered storage... minutes from 183 & toll road -- 100 year flood plain - current & previous owners state house never flooded",239999.0,"very close to austin airport, circuit of the americas, toll roads, downtown austin... creek and pond on property... amazing potential - not many restrictions... house is very livable... large garage/storage building has very rough floor and has an old 1 bedroom with full bath in it needs work! ... lots of covered storage... minutes from 183 toll road -- 100 year flood plain - current previous owners state house never flooded"
"An abundance of technological & designer upgrades. Featuring jaw-dropping outdoor, covered living space with fp, TV, sound system, bar, half bath & outdoor kitchen all overlooking serene swimming pool & spa in a completely private backyard with a hidden, raised-bed, organic garden. Timed landscaped lighting - even in the trees. A must see! Resort-style living near Lake Austin/Lake Travis/Concordia U & convenient to Downtown Austin. Executive home on extra-large lot in coveted, Estates section.",830000.0,"an abundance of technological designer upgrades. featuring jaw-dropping outdoor, covered living space with fp, tv, sound system, bar, half bath outdoor kitchen all overlooking serene swimming pool spa in a completely private backyard with a hidden, raised-bed, organic garden. timed landscaped lighting - even in the trees. a must see! resort-style living near lake austin/lake travis/concordia u convenient to downtown austin. executive home on extra-large lot in coveted, estates section."
"Great home available in Austin's Colony.  2 Living/ 2 Dining areas!  Fireplace in downstairs family room.  Kitchen with gas cooking! All bedrooms up!  Master bedroom with walk in closet and a master bath that has double vanities, separate shower and a garden tub.  Large patio in back for entertaining!  Shade trees! Storage building!",219990.0,"great home available in austin s colony. 2 living/ 2 dining areas! fireplace in downstairs family room. kitchen with gas cooking! all bedrooms up! master bedroom with walk in closet and a master bath that has double vanities, separate shower and a garden tub. large patio in back for entertaining! shade trees! storage building!"
"A well kept 3 bed 2 bath corner lot home at a great price. Durable vinyl plank flooring throughout the home with an open floorplan. Vaulted ceilings help create an open feeling throughout the living area and into the Master. Kitchen opens onto dining room with windows looking out from the sink. A double vanity, a separate shower and garden cap off a surprisingly spacious master. Back yard is fenced in with plenty of space for children or the family pet to play in. All bedrooms positioned towards the interior of the lot and away from the street.",195000.0,"a well kept 3 bed 2 bath corner lot home at a great price. durable vinyl plank flooring throughout the home with an open floorplan. vaulted ceilings help create an open feeling throughout the living area and into the master. kitchen opens onto dining room with windows looking out from the sink. a double vanity, a separate shower and garden cap off a surprisingly spacious master. back yard is fenced in with plenty of space for children or the family pet to play in. all bedrooms positioned towards the interior of the lot and away from the street."
"~2.4 acres, ~240' Lake Travis waterfront, this waterfront beauty (deep side) is an exception to the rule. Huge level lot, expansive lake views, designed to the nines with a very functional floor plan. Balsatina counters, steel and antique wood accents, Wolfe range, Subzero refrigerator. Over 4000 sf of covered outdoor entertaining including negative edge pool, over the top summer kitchen, fire pit. Separate guest house. Located at Windy Point, close to shopping and commute to downtown.",4250000.0,"2.4 acres, 240 lake travis waterfront, this waterfront beauty deep side is an exception to the rule. huge level lot, expansive lake views, designed to the nines with a very functional floor plan. balsatina counters, steel and antique wood accents, wolfe range, subzero refrigerator. over 4000 sf of covered outdoor entertaining including negative edge pool, over the top summer kitchen, fire pit. separate guest house. located at windy point, close to shopping and commute to downtown."
" 	This stunning home shows like a model! Features include ceramic (wood look) tile flooring and cathedral ceilings. Gourmet kitchen with Silestone counters, upgraded cityscape cabinets w/crown molding, SS appliances, reverse osmosis system, convection oven and glass tile backsplash. All bedrooms have walk in closets. Master en-suite w/private sitting area, large walk-in shower and double vanity. Corner lot w/covered back patio overlooking the large back yard. Solar panels on the home keep electricity low!",309999.0,"this stunning home shows like a model! features include ceramic wood look tile flooring and cathedral ceilings. gourmet kitchen with silestone counters, upgraded cityscape cabinets w/crown molding, ss appliances, reverse osmosis system, convection oven and glass tile backsplash. all bedrooms have walk in closets. master en-suite w/private sitting area, large walk-in shower and double vanity. corner lot w/covered back patio overlooking the large back yard. solar panels on the home keep electricity low!"
"Appealing 2 story home sitting on a quiet interior tree-lined street. This is a 4 bedroom 2.5 bath with large upstairs loft. There is a 2 car detached garage with attic and covered walkway to garage entry. There is also a walk-in attic in the house. Master on 1st floor. Great mature trees & big yard for kids to play. RISD Schools with top rated Westwood High. Walking distance to Canyon Creek pool & Amenity Center. Quiet neighborhood with quick access to Hwy 620, 45 Toll, & Hwy 130.",427000.0,"appealing 2 story home sitting on a quiet interior tree-lined street. this is a 4 bedroom 2.5 bath with large upstairs loft. there is a 2 car detached garage with attic and covered walkway to garage entry. there is also a walk-in attic in the house. master on 1st floor. great mature trees big yard for kids to play. risd schools with top rated westwood high. walking distance to canyon creek pool amenity center. quiet neighborhood with quick access to hwy 620, 45 toll, hwy 130."
"2703 Crownover St, Austin, TX 78725 is a single family home that contains 2,088 sq ft and was built in 2006. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $259,583. The Rent Zestimate for this home is $1,800/mo. ",205000.0,"2703 crownover st, austin, tx 78725 is a single family home that contains 2,088 sq ft and was built in 2006. it contains 4 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Come check out this beautiful 2 story home in Southeast Austin! Sitting on 1 acre with NO RESTRICTIONS, you get the country feel with only a 20 minute drive to downtown and less than 10 minutes to circuit of americas. This house boasts an open layout, master on the main floor, big front porch, and tons of natural light. Homes like this rarely come on the market in this area, so come see it while it's still available!",300000.0,"come check out this beautiful 2 story home in southeast austin! sitting on 1 acre with no restrictions, you get the country feel with only a 20 minute drive to downtown and less than 10 minutes to circuit of americas. this house boasts an open layout, master on the main floor, big front porch, and tons of natural light. homes like this rarely come on the market in this area, so come see it while it s still available!"
Amazing 2 story in highly coveted Avery Ranch Far West!   This home is perfect for anyone wanting to live North Austin and get the amazing Leander ISD school district not to mention just minutes to all major roads and tolls.   Perfect space for entertaining with open concept that flows to the family living.  Extra bonus room up with a ton of lighting throughout.  Don’t forget to have your Texas BBQ’s in your backyard!   Can’t wait to see you on the 10th! ,344600.0,amazing 2 story in highly coveted avery ranch far west! this home is perfect for anyone wanting to live north austin and get the amazing leander isd school district not to mention just minutes to all major roads and tolls. perfect space for entertaining with open concept that flows to the family living. extra bonus room up with a ton of lighting throughout. don t forget to have your texas bbq s in your backyard! can t wait to see you on the 10th!
Spectacular Waterfront Home on Lake Travis with Pool and Boat House. Closest private Lake Travis home to downtown.  Flat 2 acre yard with deep water.  One of a few acreage properties with deep water that is flat on Lake Travis.  Multiple Decks with amazing views. No other property in Austin like it.,3395000.0,spectacular waterfront home on lake travis with pool and boat house. closest private lake travis home to downtown. flat 2 acre yard with deep water. one of a few acreage properties with deep water that is flat on lake travis. multiple decks with amazing views. no other property in austin like it.
"Lovely cul-de-sac home with features tons of upgrades Kitchen has huge island with pendant lighting, granite counters, SS appliances & breakfast area. Master offers a sitting alcove, perfect for workout space or nursery. His and hers vanities, soaking tub, walking shower & spacious walk-in closet complete the master. French doors lead to a private home office.  Screened patio overlooks the large back yard! Bryant Park is close by and include a pavilion, park, walking trails with hammocks along the way!",399900.0,"lovely cul-de-sac home with features tons of upgrades kitchen has huge island with pendant lighting, granite counters, ss appliances breakfast area. master offers a sitting alcove, perfect for workout space or nursery. his and hers vanities, soaking tub, walking shower spacious walk-in closet complete the master. french doors lead to a private home office. screened patio overlooks the large back yard! bryant park is close by and include a pavilion, park, walking trails with hammocks along the way!"
